Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Trail Running,2026-02-28 12:05:02,false,"Alcobendas - Week 2 Running","3.25","256","00:31:02","145","173","3.0","113","239","9:33","5:38","41","5","0.94","0.0","--","--","--","3,754","--","--","No","00:00:02.1","21","00:30:53","00:31:25","658","697"
Running,2026-02-26 13:17:26,false,"Majadahonda - Week 2 Running","3.20","255","00:31:06","145","175","2.8","118","182","9:43","5:16","65","39","0.87","0.0","--","--","--","3,756","--","--","No","00:00:06.5","21","00:31:05","00:31:06","683","722"
Running,2026-02-25 12:34:59,false,"Majadahonda - Week 1 Running","3.12","264","00:30:36","136","164","2.6","114","245","9:49","5:18","70","42","0.89","0.0","--","--","--","3,614","--","--","No","00:00:06.3","25","00:30:35","00:30:36","683","722"
Running,2026-02-24 08:36:32,false,"Majadahonda - Week 2 Running","3.17","266","00:31:07","141","170","2.8","120","214","9:49","5:44","59","41","0.85","0.0","--","--","--","3,872","--","--","No","00:00:06.6","21","00:31:06","00:31:07","690","722"
Running,2026-02-22 10:53:13,false,"Alcobendas - Week 1 Running","3.12","238","00:30:36","133","158","2.7","117","206","9:49","5:30","42","48","0.86","0.0","--","--","--","3,618","--","--","No","00:00:06.4","25","00:30:25","00:30:36","687","697"
Trail Running,2026-02-15 11:56:16,false,"Boadilla del Monte - Week 1 Running","3.08","247","00:30:37","136","162","2.4","102","228","9:56","5:50","14","7","1.02","0.0","--","--","--","3,482","--","--","No","00:00:07.3","25","00:30:33","00:30:37","725","735"
Trail Running,2026-02-14 11:35:34,false,"Madrid - Week 2 Running","3.33","273","00:31:31","141","168","3.0","107","234","9:28","5:49","16","13","1.00","0.0","--","--","--","3,798","--","--","No","00:00:31.2","21","00:31:23","00:31:31","596","605"
Running,2026-02-12 10:10:29,false,"Majadahonda - Week 2 Running","3.03","259","00:31:06","142","173","2.6","113","231","10:15","5:25","64","31","0.88","0.0","--","--","--","3,712","--","--","No","00:00:06.5","21","00:31:05","00:31:06","682","722"
Running,2026-02-11 07:46:14,false,"Majadahonda - Week 1 Running","2.88","231","00:30:36","132","157","2.2","102","229","10:38","5:57","54","28","0.94","0.0","--","--","--","3,584","--","--","No","00:00:06.0","25","00:30:03","00:30:36","679","722"
Running,2026-02-10 10:09:06,false,"Majadahonda - Week 2 Running","2.97","252","00:31:08","145","170","2.4","108","176","10:30","6:07","46","24","0.92","0.0","--","--","--","3,810","--","--","No","00:00:07.7","21","00:30:59","00:31:08","685","721"
Walking,2026-02-08 14:23:26,false,"Boadilla del Monte Walking","6.53","493","01:22:13","124","144","2.2","87","235","12:36","6:46","43","32","0.91","0.0","--","--","--","8,278","--","--","No","00:07:39.4","7","01:19:18","01:43:55","689","735"
Trail Running,2026-02-08 13:52:17,false,"Boadilla del Monte - Week 1 Running","2.99","240","00:30:46","136","160","2.5","107","238","10:17","6:27","8","18","0.92","0.0","--","--","--","3,640","--","--","No","00:00:16.2","25","00:30:42","00:30:46","714","735"
Walking,2026-02-07 12:52:22,false,"Boadilla del Monte Walking","2.29","175","00:27:44","132","154","1.5","94","222","12:08","10:05","16","10","0.87","0.0","--","--","--","2,946","--","--","No","00:03:46.3","3","00:27:26","00:27:44","716","735"
Trail Running,2026-02-07 12:19:13,false,"Boadilla del Monte - Week 1 Running","3.29","259","00:32:46","140","170","2.8","114","230","9:58","5:42","10","24","0.91","0.0","--","--","--","3,992","--","--","No","00:00:30","25","00:32:45","00:32:46","713","735"
Trail Running,2026-02-05 12:33:28,false,"Majadahonda - Week 2 Running","3.13","255","00:31:02","144","174","2.9","112","222","9:55","6:05","20","49","0.92","0.0","--","--","--","3,664","--","--","No","00:00:02.4","21","00:30:56","00:31:02","700","750"
Running,2026-02-04 12:51:24,false,"Majadahonda - Week 1 Running","2.79","235","00:30:37","140","162","2.8","108","221","10:58","5:56","48","76","0.85","0.0","--","--","--","3,458","--","--","No","00:00:00.9","26","00:30:29","00:30:37","681","729"
Running,2026-02-03 12:08:02,false,"Majadahonda - Week 2 Running","3.05","263","00:31:07","145","177","3.0","112","226","10:13","6:00","61","27","0.89","0.0","--","--","--","3,754","--","--","No","00:00:06.8","21","00:31:07","00:31:07","683","722"
Running,2026-02-01 14:42:12,false,"Majadahonda - Week 1 Running","2.97","258","00:30:39","147","174","3.3","103","175","10:18","5:58","68","32","0.98","0.0","--","--","--","3,546","--","--","No","00:00:09.1","25","00:30:39","00:30:39","679","722"
Walking,2026-01-31 12:36:37,false,"Boadilla del Monte Walking","3.27","257","00:41:46","125","145","2.1","77","233","12:47","1:01","32","30","1.05","0.0","--","--","--","4,090","--","--","No","00:03:17.1","4","00:39:11","01:24:44","688","720"
Trail Running,2026-01-31 12:05:25,false,"Boadilla del Monte - Week 1 Running","3.21","252","00:30:37","138","170","3.2","110","248","9:31","3:58","10","28","0.96","0.0","--","--","--","3,596","--","--","No","00:00:06.7","25","00:29:58","00:30:37","711","735"
Running,2026-01-29 09:57:56,false,"Majadahonda - Week 1 Running","2.77","235","00:30:34","139","164","2.9","110","182","11:03","5:36","47","27","0.81","0.0","--","--","--","3,490","--","--","No","00:00:04.4","25","00:30:29","00:30:34","685","722"
Running,2026-01-27 10:11:24,false,"Majadahonda - Week 1 Running","2.88","234","00:30:35","137","162","3.0","115","233","10:37","5:21","41","57","0.82","0.0","--","--","--","3,524","--","--","No","00:00:01.1","26","00:30:34","00:30:35","670","722"
Walking,2026-01-25 13:12:57,false,"Boadilla del Monte Walking","6.87","548","01:21:43","133","171","3.0","94","245","11:54","3:09","57","45","0.90","0.0","--","--","--","8,428","--","--","No","00:09:55.9","7","01:15:32","01:41:59","689","735"
Running,2026-01-25 12:41:56,false,"Boadilla del Monte - Week 1 Running","3.09","242","00:30:34","140","163","3.0","108","247","9:53","4:48","14","26","0.94","0.0","--","--","--","3,514","--","--","No","00:00:03.6","25","00:30:34","00:30:34","714","735"
Running,2026-01-24 12:21:17,false,"Boadilla del Monte - Week 1 Running","3.02","236","00:30:43","132","165","3.0","102","224","10:11","2:11","15","25","0.97","0.0","--","--","--","3,432","--","--","No","00:00:01.4","27","00:30:32","00:30:43","725","744"
Running,2026-01-23 11:31:59,false,"Majadahonda - Week 1 Running","2.70","228","00:30:33","138","161","2.8","110","225","11:18","6:33","51","35","0.80","0.0","--","--","--","3,506","--","--","No","00:00:02.6","25","00:30:30","00:30:33","679","722"
Running,2026-01-20 10:44:15,false,"Majadahonda - Week 1 Running","2.76","244","00:30:01","152","175","3.2","107","172","10:51","5:44","47","30","0.86","0.0","--","--","--","3,348","--","--","No","00:00:30","25","00:29:53","00:30:01","676","722"
Trail Running,2026-01-18 11:42:37,false,"Boadilla del Monte - Week 1 Running","3.09","243","00:30:41","136","165","3.1","104","218","9:57","6:26","49","19","0.98","0.0","--","--","--","3,456","--","--","No","00:00:10.9","25","00:30:35","00:30:41","694","735"
Walking,2026-01-13 12:04:03,false,"Majadahonda Walking","4.17","326","00:45:33","136","165","3.0","106","237","10:55","8:30","67","61","0.86","0.0","--","--","--","5,122","--","--","No","00:01:51.8","5","00:45:25","00:45:33","670","722"
Walking,2026-01-11 13:33:18,false,"Boadilla del Monte Walking","4.31","302","00:53:48","116","136","2.1","90","250","12:29","8:30","3","41","0.90","0.0","--","--","--","5,488","--","--","No","00:04:09.6","5","00:51:02","00:53:48","692","735"
Walking,2025-09-20 13:22:21,false,"Boadilla del Monte Walking","4.74","436","01:03:13","136","160","2.9","90","240","13:21","5:39","17","17","0.84","0.0","--","--","--","6,516","--","--","No","00:09:11.4","5","00:58:46","01:03:13","661","683"
Walking,2025-09-16 12:15:27,false,"Las Rozas de Madrid Walking","2.38","217","00:31:30","133","163","2.3","102","114","13:14","11:01","19","16","0.74","0.0","--","--","--","3,310","--","--","No","00:04:39.6","3","00:31:29","00:31:30","732","750"
Walking,2025-09-12 12:43:39,false,"Majadahonda Walking","1.62","148","00:27:53","114","135","0.9","68","120","17:11","7:05","24","31","0.86","0.0","--","--","--","2,642","--","--","No","00:09:16.5","2","00:27:53","00:27:53","677","701"
Walking,2025-09-08 19:17:21,false,"Sanxenxo Walking","3.71","328","01:10:20","108","136","1.0","52","198","18:56","13:32","74","78","1.04","0.0","--","--","--","5,578","--","--","No","00:15:16","4","00:59:31","01:10:21","--","38"
Walking,2025-09-07 11:07:17,false,"Sanxenxo Walking","8.39","766","02:11:19","124","152","2.6","70","222","15:39","8:35","146","148","0.94","0.0","--","--","--","11,928","--","--","No","00:05:08.6","9","01:56:02","02:11:19","6","104"
Walking,2025-09-06 19:41:22,false,"Sanxenxo Walking","1.58","174","00:40:03","102","118","0.6","41","155","25:22","9:33","23","13","0.97","0.0","--","--","--","2,516","--","--","No","00:16:26","2","00:24:36","00:40:03","2","19"
Walking,2024-12-21 05:59:16,false,"Sanxenxo Walking","1.95","197","00:41:11","103","119","1.0","55","154","21:09","9:39","26","13","0.87","0.0","--","--","--","2,906","--","--","No","00:18:11","2","00:27:38","00:41:11","1","17"
Running,2024-11-15 11:52:55,false,"Majadahonda - Week 1 Running","3.21","304","00:30:36","165","181","3.7","116","178","9:31","5:02","37","18","0.90","0.0","--","--","--","3,636","--","--","No","00:00:06.2","25","00:30:36","00:30:36","715","750"
Running,2024-11-11 20:09:58,false,"Majadahonda - Week 2 Running","3.17","308","00:31:02","160","186","3.8","111","231","9:48","6:07","51","22","0.93","0.0","--","--","--","3,698","--","--","No","00:00:01.9","21","00:31:00","00:31:02","707","750"
Running,2024-11-08 18:44:41,false,"Majadahonda - Week 1 Running","3.22","322","00:30:33","158","184","4.1","113","230","9:29","5:28","46","16","0.95","0.0","--","--","--","3,598","--","--","No","00:00:03.3","25","00:30:26","00:30:33","712","750"
Running,2024-11-07 12:55:20,false,"Majadahonda - Week 1 Running","2.94","283","00:30:33","161","179","3.3","110","229","10:24","6:19","44","11","0.88","0.0","--","--","--","3,510","--","--","No","00:00:02.8","25","00:30:23","00:30:33","708","750"
Running,2024-11-05 13:12:50,false,"Majadahonda - Week 1 Running","2.62","248","00:30:33","149","168","2.7","99","165","11:40","7:19","49","9","0.87","0.0","--","--","--","3,324","--","--","No","00:00:01.0","26","00:30:20","00:30:33","708","750"
Running,2024-11-04 12:25:50,false,"Majadahonda - Week 1 Running","3.21","295","00:38:09","147","173","3.0","106","161","11:53","8:26","52","22","0.79","0.0","--","--","--","4,116","--","--","No","00:00:30","25","00:38:09","00:38:09","707","750"
Walking,2024-11-01 11:49:05,false,"Majadahonda Walking","6.04","487","01:17:08","129","148","2.7","92","236","12:46","7:54","78","72","0.86","0.0","--","--","--","8,052","--","--","No","00:00:02.0","9","01:16:22","01:17:08","677","750"
Walking,2024-10-30 09:08:37,false,"Majadahonda Walking","5.29","447","01:15:44","127","150","2.1","77","222","14:18","6:13","65","58","0.92","0.0","--","--","--","7,094","--","--","No","00:04:14.0","6","01:11:46","01:15:44","673","722"
Walking,2024-09-18 19:44:17,false,"Majadahonda Walking","0.76","69","00:09:48.1","96","137","2.0","95","223","12:49","11:27","23","22","0.82","0.0","--","--","--","986","--","--","No","00:09:48.1","1","00:09:22","00:09:48.1","677","701"
Walking,2024-01-14 12:58:14,false,"Rascafría Walking","5.98","937","02:49:38","128","170","3.7","27","231","28:21","7:10","225","224","1.42","0.0","--","--","--","8,274","--","--","No","00:19:22","6","01:11:11","03:15:43","1,818","2,017"
